case_id,dimension,setting,evidence_class,policy,episodes,mean_cost_bps,median_cost_bps,p95_cost_bps,cvar95_cost_bps,completion_rate,invalid_action_rate
central_reference,central,step27_active_training_regime,synthetic_engineering,immediate,24,3.947007408308794,3.9376028012820443,4.218566598237228,4.225752217754927,1.0,0.0
central_reference,central,step27_active_training_regime,synthetic_engineering,twap_like,24,3.1229776197662606,3.0910916153706474,6.931640238160083,7.56181513448678,1.0,0.0
central_reference,central,step27_active_training_regime,synthetic_engineering,liquidity_aware,24,2.2315461942580863,1.2766291089382484,8.014488790422607,8.96833265618799,1.0,0.0
central_reference,central,step27_active_training_regime,synthetic_engineering,ppo_seed_27,24,2.6839200032581245,2.245496163049715,10.60503350395468,11.407655579196213,1.0,0.0
central_reference,central,step27_active_training_regime,synthetic_engineering,ppo_seed_127,24,2.6839200032581245,2.245496163049715,10.60503350395468,11.407655579196213,1.0,0.0
central_reference,central,step27_active_training_regime,synthetic_engineering,ppo_seed_227,24,1.6973961596179985,1.0045791228437349,7.769902929876808,9.338230790327785,1.0,0.0
central_reference,central,step27_active_training_regime,synthetic_engineering,ppo_seed_327,24,2.9407536783986603,3.1265799161086,7.039280955064713,7.155702462555226,1.0,0.0
central_reference,central,step27_active_training_regime,synthetic_engineering,ppo_seed_427,24,2.5616450892748284,1.653321760428041,10.52912915789096,11.041682752339222,1.0,0.0
latency_zero,latency,zero,synthetic_engineering,immediate,24,3.4970074083087943,3.487602801282044,3.768566598237227,3.7757522177549263,1.0,0.0
latency_zero,latency,zero,synthetic_engineering,twap_like,24,2.7452618520810232,2.8343751096076986,6.481640238160083,7.111815134486781,1.0,0.0
latency_zero,latency,zero,synthetic_engineering,liquidity_aware,24,1.750148347510634,0.8266291089382485,7.564488790422608,8.51833265618799,1.0,0.0
latency_zero,latency,zero,synthetic_engineering,ppo_seed_27,24,2.2183901422639507,1.795496163049715,10.15503350395468,10.957655579196214,1.0,0.0
latency_zero,latency,zero,synthetic_engineering,ppo_seed_127,24,2.2183901422639507,1.795496163049715,10.15503350395468,10.957655579196214,1.0,0.0
latency_zero,latency,zero,synthetic_engineering,ppo_seed_227,24,1.0430106426449246,0.32566774527020154,7.1662180975880805,8.832141759763653,1.0,0.0
latency_zero,latency,zero,synthetic_engineering,ppo_seed_327,24,2.435227910137551,2.496409083533872,6.690833441166344,6.898905927565085,1.0,0.0
latency_zero,latency,zero,synthetic_engineering,ppo_seed_427,24,2.1207573730483626,1.1960754679527916,10.15503350395468,10.636332367670823,1.0,0.0
latency_half,latency,0.5x,synthetic_engineering,immediate,24,3.7220074083087944,3.7126028012820442,3.993566598237228,4.000752217754927,1.0,0.0
latency_half,latency,0.5x,synthetic_engineering,twap_like,24,2.970261852081023,3.059375109607698,6.706640238160082,7.336815134486779,1.0,0.0
latency_half,latency,0.5x,synthetic_engineering,liquidity_aware,24,1.9751483475106344,1.0516291089382483,7.789488790422607,8.743332656187992,1.0,0.0
latency_half,latency,0.5x,synthetic_engineering,ppo_seed_27,24,2.443390142263951,2.0204961630497147,10.380033503954678,11.182655579196211,1.0,0.0
latency_half,latency,0.5x,synthetic_engineering,ppo_seed_127,24,2.443390142263951,2.0204961630497147,10.380033503954678,11.182655579196211,1.0,0.0
latency_half,latency,0.5x,synthetic_engineering,ppo_seed_227,24,1.384156074230659,0.5506677452702013,7.449551577917782,9.057141759763654,1.0,0.0
latency_half,latency,0.5x,synthetic_engineering,ppo_seed_327,24,2.6288597561586293,2.6664885827949814,6.814280955064712,6.9307024625552245,1.0,0.0
latency_half,latency,0.5x,synthetic_engineering,ppo_seed_427,24,2.325181972718857,1.4283217604280405,10.380033503954678,10.861332367670823,1.0,0.0
latency_2x,latency,2x,synthetic_engineering,immediate,24,4.397007408308794,4.3876028012820445,4.668566598237227,4.675752217754927,1.0,0.0
latency_2x,latency,2x,synthetic_engineering,twap_like,24,3.572977619766261,3.5410916153706475,7.381640238160083,8.011815134486781,1.0,0.0
latency_2x,latency,2x,synthetic_engineering,liquidity_aware,24,2.717571436091186,1.7266291089382482,8.464488790422607,9.418332656187989,1.0,0.0
latency_2x,latency,2x,synthetic_engineering,ppo_seed_27,24,3.1614335872886703,2.695496163049715,11.055033503954679,11.857655579196212,1.0,0.0
latency_2x,latency,2x,synthetic_engineering,ppo_seed_127,24,3.1614335872886703,2.695496163049715,11.055033503954679,11.857655579196212,1.0,0.0
latency_2x,latency,2x,synthetic_engineering,ppo_seed_227,24,2.322822554210863,1.7232090077310813,8.219902929876808,10.05780110584464,1.0,0.0
latency_2x,latency,2x,synthetic_engineering,ppo_seed_327,24,3.331170400877575,3.5765799161086003,7.315977928575889,7.6024850021969055,1.0,0.0
latency_2x,latency,2x,synthetic_engineering,ppo_seed_427,24,3.0003290115877035,2.075896975246727,10.970001762542928,11.491682752339223,1.0,0.0
latency_5x,latency,5x,synthetic_engineering,immediate,24,5.747007408308794,5.737602801282044,6.018566598237228,6.025752217754928,1.0,0.0
latency_5x,latency,5x,synthetic_engineering,twap_like,24,4.941438507139328,4.891091615370647,8.770046713648817,9.361815134486779,1.0,0.0
latency_5x,latency,5x,synthetic_engineering,liquidity_aware,24,4.20935332428287,3.2547901417729186,10.6999462716568,11.217416878041771,1.0,0.0
latency_5x,latency,5x,synthetic_engineering,ppo_seed_27,24,4.628097051200067,3.9852773456352355,12.400958295420438,14.033580587807732,1.0,0.0
