case_id,dimension,setting,policy,comparator,episodes,mean_difference_bps,median_difference_bps,mean_ci95_low_bps,mean_ci95_high_bps,raw_two_sided_p_value,holm_adjusted_p_value,relative_change_percent,paired_standardized_effect
central_reference,central,step27_active_training_regime,ppo_aggregate,liquidity_aware,24,0.281980792503,0.413695851629,-0.106294469747,0.657912289188,0.165486941665,0.165486941665,12.6361172011,0.193740983444
central_reference,central,step27_active_training_regime,twap_like,liquidity_aware,24,0.891431425508,1.15647311329,-0.000704069742732,1.74125651296,0.0458872345619,0.0458872345619,39.9468058426,0.253269668223
central_reference,central,step27_active_training_regime,immediate,liquidity_aware,24,1.71546121405,2.51913483492,0.105848537451,3.25821590352,0.0288015621186,0.0288015621186,76.873210981,0.54309587434
data_delay_1,data_quality,one_decision_delay,ppo_aggregate,liquidity_aware,24,0.614590503831,0.417426820671,0.362214526696,0.926524133577,0.000244081034904,0.000976324139614,33.7754672274,0.534946518651
data_delay_1,data_quality,one_decision_delay,twap_like,liquidity_aware,24,0.423716829355,0.718618626516,-1.28364109754,1.87614088732,0.626556016598,1.0,23.2858037903,0.100160622565
data_delay_1,data_quality,one_decision_delay,immediate,liquidity_aware,24,2.12737157709,2.60995411377,0.427155315921,3.61050047641,0.0065901879424,0.0263607517696,116.911941423,0.688300848706
data_delay_2,data_quality,two_decision_delay,ppo_aggregate,liquidity_aware,24,0.521799593505,0.64116107687,0.246409675032,0.813331798602,0.000732243104711,0.00219672931413,27.5069847211,0.513206032558
data_delay_2,data_quality,two_decision_delay,twap_like,liquidity_aware,24,0.973698196613,1.73809199098,-0.380756379543,2.10456041908,0.122528679522,0.490114718086,51.3290959798,0.248609980958
data_delay_2,data_quality,two_decision_delay,immediate,liquidity_aware,24,2.05003615248,2.17699237964,0.269060082307,3.6172689605,0.0124481327801,0.0373443983402,108.068909646,0.642107347422
data_drop_10pct,data_quality,dropped_updates_10pct,ppo_aggregate,liquidity_aware,24,0.249784550305,0.368764317765,-0.0913597653205,0.607661881214,0.172565291677,0.345130583354,10.9720798412,0.179214908638
