schema=synthetic-market-config-v1
scenario=step9-demo-adversarial
class=adversarial_stress
venue=synthetic
instrument=DEMO-USD
run=step9-demo-run
seed=20260806
start_ns=0
grid_step_ns=100000
initial_reference_ticks=10000
fee_schedule=synthetic-fees-v1
maker_atoms_per_lot=-1
taker_atoms_per_lot=3
regime|normal|designed_synthetic|120|420000|210000|160000|90000|500000|80000|750000|300000|450000|2|5|12|1|5|2|90000|850000
regime|thin-high-vol|adversarial_stress|80|420000|400000|160000|220000|500000|80000|750000|300000|450000|2|5|4|1|5|2|90000|850000
shock|liquidity-vacuum|adversarial_stress|140|30|250000|2500000|3000000|2000000|2500000|150000|-25
action|1|0|0|normal|initial_liquidity|buy|12|9998|1|1||accepted
action|2|0|0|normal|initial_liquidity|buy|12|9997|2|2||accepted
action|3|0|0|normal|initial_liquidity|buy|12|9996|3|3||accepted
action|4|0|0|normal|initial_liquidity|buy|12|9995|4|4||accepted
action|5|0|0|normal|initial_liquidity|buy|12|9994|5|5||accepted
action|6|0|0|normal|initial_liquidity|sell|12|10002|6|6||accepted
action|7|0|0|normal|initial_liquidity|sell|12|10003|7|7||accepted
action|8|0|0|normal|initial_liquidity|sell|12|10004|8|8||accepted
action|9|0|0|normal|initial_liquidity|sell|12|10005|9|9||accepted
action|10|0|0|normal|initial_liquidity|sell|12|10006|10|10||accepted
action|11|0|0|normal|aggressive_market|buy|3||11|11||accepted_ioc
action|12|2|200000|normal|limit_add|sell|4|10006|12|12||accepted
action|13|3|300000|normal|limit_add|sell|3|10002|13|13||accepted
action|14|3|300000|normal|aggressive_market|sell|2||14|14||accepted_ioc
action|15|5|500000|normal|cancel|sell|4||12|12||accepted
action|16|6|600000|normal|limit_add|buy|1|9996|15|15||accepted
action|17|6|600000|normal|aggressive_market|sell|3||16|16||accepted_ioc
action|18|6|600000|normal|cancel|buy|12||2|2||accepted
action|19|7|700000|normal|limit_add|sell|1|10006|17|17||accepted
action|20|8|800000|normal|limit_add|buy|3|9994|18|18||accepted
action|21|9|900000|normal|cancel|buy|12||4|4||accepted
action|22|10|1000000|normal|limit_add|buy|4|9996|19|19||accepted
action|23|11|1100000|normal|limit_add|sell|2|10006|20|20||accepted
action|24|12|1200000|normal|limit_add|buy|2|9996|21|21||accepted
action|25|13|1300000|normal|limit_add|sell|3|10004|22|22||accepted
action|26|13|1300000|normal|cancel|sell|1||17|17||accepted
action|27|14|1400000|normal|aggressive_market|sell|1||23|23||accepted_ioc
action|28|14|1400000|normal|cancel|buy|3||18|18||accepted
action|29|15|1500000|normal|aggressive_market|buy|5||24|24||accepted_ioc
action|30|15|1500000|normal|cancel|buy|2||21|21||accepted
action|31|16|1600000|normal|limit_add|buy|4|9998|25|25||accepted
action|32|17|1700000|normal|reference_move|sell|0|9999||||exogenous_discrete_reference_move
action|33|17|1700000|normal|limit_add|sell|4|10005|26|26||accepted
action|34|18|1800000|normal|limit_add|sell|4|10002|27|27||accepted
action|35|18|1800000|normal|aggressive_market|buy|3||28|28||accepted_ioc
action|36|19|1900000|normal|limit_add|sell|2|10002|29|29||accepted
action|37|20|2000000|normal|cancel|buy|4||19|19||accepted
action|38|21|2100000|normal|limit_add|sell|5|10001|30|30||accepted
action|39|22|2200000|normal|limit_add|sell|3|10002|31|31||accepted
action|40|22|2200000|normal|aggressive_market|buy|2||32|32||accepted_ioc
action|41|24|2400000|normal|limit_add|buy|5|9993|33|33||accepted
action|42|25|2500000|normal|limit_add|buy|2|9995|34|34||accepted
action|43|26|2600000|normal|limit_add|sell|3|10005|35|35||accepted
action|44|27|2700000|normal|limit_add|buy|3|9996|36|36||accepted
action|45|28|2800000|normal|reference_move|sell|0|9998||||exogenous_discrete_reference_move
action|46|28|2800000|normal|limit_add|sell|5|10000|37|37||accepted
action|47|28|2800000|normal|cancel|sell|3||31|31||accepted
action|48|29|2900000|normal|limit_add|sell|5|10000|38|38||accepted
action|49|30|3000000|normal|limit_add|sell|2|10004|39|39||accepted
action|50|30|3000000|normal|aggressive_market|sell|4||40|40||accepted_ioc
action|51|31|3100000|normal|reference_move|sell|0|9996||||exogenous_discrete_reference_move
action|52|32|3200000|normal|reference_move|sell|0|9995||||exogenous_discrete_reference_move
action|53|32|3200000|normal|limit_add|sell|5|9999|41|41||accepted
action|54|33|3300000|normal|limit_add|sell|2|9999|42|42||accepted
action|55|36|3600000|normal|limit_add|buy|1|9991|43|43||accepted
action|56|36|3600000|normal|aggressive_market|buy|5||44|44||accepted_ioc
action|57|37|3700000|normal|reference_move|sell|0|9993||||exogenous_discrete_reference_move
action|58|37|3700000|normal|limit_add|buy|1|9989|45|45||accepted
action|59|40|4000000|normal|reference_move|sell|0|9991||||exogenous_discrete_reference_move
action|60|41|4100000|normal|cancel|buy|1||43|43||accepted
action|61|42|4200000|normal|limit_add|buy|2|9985|46|46||accepted
action|62|42|4200000|normal|cancel|sell|2||39|39||accepted
action|63|43|4300000|normal|limit_add|buy|3|9987|47|47||accepted
action|64|43|4300000|normal|cancel|sell|12||7|7||accepted
action|65|44|4400000|normal|limit_add|sell|1|9999|48|48||accepted
action|66|45|4500000|normal|reference_move|sell|0|9990||||exogenous_discrete_reference_move
action|67|45|4500000|normal|limit_add|sell|3|9999|49|49||accepted
action|68|46|4600000|normal|limit_add|sell|4|9999|50|50||accepted
action|69|47|4700000|normal|reference_move|sell|0|9988||||exogenous_discrete_reference_move
action|70|47|4700000|normal|limit_add|buy|5|9986|51|51||accepted
action|71|51|5100000|normal|aggressive_market|sell|2||52|52||accepted_ioc
action|72|52|5200000|normal|limit_add|sell|4|9999|53|53||accepted
action|73|52|5200000|normal|aggressive_market|buy|1||54|54||accepted_ioc
